group_id,uid,data_source,cost_min,cost_max,rounds_reduced,efficient_queries_mean,inefficient_queries_mean,queries_not_reduced,queries_increased_in_inefficient,efficient_parallel_factor_mean,inefficient_parallel_factor_mean,parallel_packing_increased_in_efficient,packing_suspect
82:111711,111711,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
85:79748,79748,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
86:116822,116822,hotpotqa,5,6,True,5.0,6.0,False,True,1.0,1.0,False,False
86:27545,27545,nq,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
86:77792,77792,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
88:157577,157577,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
88:53637,53637,nq,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
89:107940,107940,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
90:131850,131850,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
91:108381,108381,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
91:52982,52982,nq,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
94:102601,102601,hotpotqa,3,4,True,3.0,4.0,False,True,1.0,1.0,False,False
94:145574,145574,hotpotqa,4,5,True,4.0,5.0,False,True,1.0,1.0,False,False
96:100735,100735,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
97:10466,10466,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
97:162434,162434,hotpotqa,2,3,True,3.0,4.0,False,True,1.5,1.333,True,False
100:118447,118447,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
100:94084,94084,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
108:103389,103389,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
108:169173,169173,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
108:86196,86196,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
108:93945,93945,hotpotqa,2,3,True,3.0,4.0,False,True,1.5,1.333,True,False
113:136151,136151,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
114:105752,105752,hotpotqa,3,4,True,3.0,4.0,False,True,1.0,1.0,False,False
114:155451,155451,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
