group_id,global_step,uid,data_source,k,cost_min_correct,cost_max_correct,cost_gap,cost_all_mean,queries_all_mean,tokens_all_mean,queries_per_round_mean,efficient_rounds,inefficient_rounds,efficient_queries,inefficient_queries,efficient_tokens,inefficient_tokens,E_max,E_std,efficiency_rank_correct
50:144181,75,144181,hotpotqa,8,1.0,2.0,1.0,1.125,1.125,838.5,1.0,1.0,2.0,1.0,2.0,778.0,1262.0,1.0,0.3535533905932738,True
52:128279,75,128279,hotpotqa,8,1.0,3.0,2.0,1.75,2.75,1631.625,1.75,1.0,3.0,2.0,4.0,1206.0,2341.0,1.0,0.5175491695067657,True
57:104500,76,104500,hotpotqa,8,2.0,3.0,1.0,2.125,2.375,1528.75,1.0833333333333335,2.0,3.0,2.0,5.0,1386.0,2528.0,1.0,0.3535533905932738,True
57:133231,76,133231,hotpotqa,8,1.0,2.0,1.0,1.125,2.125,1367.125,1.9375,1.0,2.0,2.0,3.0,1297.0,1858.0,1.0,0.3535533905932738,True
58:37634,76,37634,nq,8,2.0,3.0,1.0,2.625,2.625,1710.125,1.0,2.0,3.0,2.0,3.0,1393.6666666666667,1900.0,1.0,0.5175491695067657,True
59:149975,76,149975,hotpotqa,8,1.0,2.0,1.0,1.5,2.0,1258.5,1.5,1.0,2.0,2.0,2.0,1249.0,1268.0,1.0,0.5345224838248488,True
61:130417,76,130417,hotpotqa,8,2.0,3.0,1.0,2.625,3.625,2073.875,1.3958333333333333,2.0,3.0,3.0,4.0,1969.0,2136.8,1.0,0.5175491695067657,True
64:69292,76,69292,nq,8,1.0,2.0,1.0,1.5,1.5,1064.125,1.0,1.0,2.0,1.0,2.0,797.25,1331.0,1.0,0.5345224838248488,True
66:125552,76,125552,hotpotqa,8,1.0,2.0,1.0,1.375,1.375,1074.5,1.0,1.0,2.0,1.0,2.0,869.0,1417.0,1.0,0.5175491695067657,True
67:125704,77,125704,hotpotqa,8,1.0,2.0,1.0,1.375,1.375,999.75,1.0,1.0,2.0,1.0,2.0,819.0,1301.0,1.0,0.5175491695067657,True
67:150523,77,150523,hotpotqa,8,2.0,3.0,1.0,2.375,2.375,1582.375,1.0,2.0,3.0,2.0,3.0,1372.0,1933.0,1.0,0.5175491695067657,True
69:4500,77,4500,nq,8,1.0,2.0,1.0,1.625,2.625,1903.625,1.6875,1.0,2.0,2.0,3.0,1468.0,2165.0,1.0,0.5175491695067657,True
69:144168,77,144168,hotpotqa,8,2.0,4.0,2.0,3.75,3.75,2378.875,1.0,2.0,4.0,2.0,4.0,1369.0,2523.1428571428573,1.0,0.3535533905932738,True
70:139504,77,139504,hotpotqa,8,1.0,2.0,1.0,1.875,2.0,1351.75,1.125,1.0,2.0,2.0,2.0,1315.0,1357.0,1.0,0.3535533905932738,True
70:8454,77,8454,nq,8,1.0,2.0,1.0,1.25,1.25,864.5,1.0,1.0,2.0,1.0,2.0,740.0,1238.0,1.0,0.4629100498862757,True
74:146644,77,146644,hotpotqa,8,1.0,2.0,1.0,1.875,2.875,1731.0,1.5625,1.0,2.0,2.0,3.0,1283.0,1795.0,1.0,0.3535533905932738,True
76:57718,77,57718,nq,8,1.0,2.0,1.0,1.25,2.0,1393.5,1.75,1.0,2.0,2.0,2.0,1396.0,1386.0,1.0,0.4629100498862757,True
81:117296,78,117296,hotpotqa,8,1.0,2.0,1.0,1.375,2.375,1668.25,1.8125,1.0,2.0,2.0,3.0,1435.0,2057.0,1.0,0.5175491695067657,True
82:29776,78,29776,nq,8,1.0,2.0,1.0,1.375,1.375,1017.0,1.0,1.0,2.0,1.0,2.0,786.0,1402.0,1.0,0.5175491695067657,True
84:114726,78,114726,hotpotqa,8,2.0,3.0,1.0,2.25,2.25,1608.0,1.0,2.0,3.0,2.0,3.0,1450.3333333333333,2081.0,1.0,0.4629100498862757,True
85:37710,78,37710,nq,8,1.0,2.0,1.0,1.375,2.375,1587.875,1.8125,1.0,2.0,2.0,3.0,1373.0,1946.0,1.0,0.5175491695067657,True
85:47640,78,47640,nq,8,1.0,2.0,1.0,1.125,1.125,807.0,1.0,1.0,2.0,1.0,2.0,736.0,1304.0,1.0,0.3535533905932738,True
86:120807,79,120807,hotpotqa,8,2.0,4.0,2.0,3.75,4.75,2540.125,1.28125,2.0,4.0,3.0,5.0,1915.0,2629.4285714285716,1.0,0.3535533905932738,True
88:86989,79,86989,hotpotqa,8,1.0,2.0,1.0,1.125,2.0,1350.625,1.875,1.0,2.0,2.0,2.0,1352.857142857143,1335.0,1.0,0.3535533905932738,True
89:64281,79,64281,nq,8,1.0,2.0,1.0,1.625,1.625,1196.25,1.0,1.0,2.0,1.0,2.0,855.0,1401.0,1.0,0.5175491695067657,True
90:148304,79,148304,hotpotqa,8,1.0,2.0,1.0,1.875,2.875,1720.125,1.5625,1.0,2.0,2.0,3.0,1182.0,1797.0,1.0,0.3535533905932738,True
92:143226,79,143226,hotpotqa,8,1.0,2.0,1.0,1.5,2.5,1677.5,1.75,1.0,2.0,2.0,3.0,1385.0,1970.0,1.0,0.5345224838248488,True
92:50760,79,50760,nq,8,1.0,2.0,1.0,1.375,2.625,1816.0,2.25,1.0,2.0,3.0,2.0,1906.0,1666.0,1.0,0.5175491695067657,True
93:36402,79,36402,nq,8,1.0,2.0,1.0,1.125,1.125,867.375,1.0,1.0,2.0,1.0,2.0,804.0,1311.0,1.0,0.3535533905932738,True
97:142420,80,142420,hotpotqa,8,1.0,2.0,1.0,1.25,1.25,900.75,1.0,1.0,2.0,1.0,2.0,756.0,1335.0,1.0,0.4629100498862757,True
98:112044,80,112044,hotpotqa,8,1.0,2.0,1.0,1.625,1.625,1092.125,1.0,1.0,2.0,1.0,2.0,744.0,1301.0,1.0,0.5175491695067657,True
100:90550,80,90550,hotpotqa,8,1.0,2.0,1.0,1.875,2.0,1183.875,1.125,1.0,2.0,2.0,2.0,1148.0,1189.0,1.0,0.3535533905932738,True
104:27175,80,27175,nq,8,1.0,2.0,1.0,1.25,2.0,1255.0,1.75,1.0,2.0,2.0,2.0,1266.0,1222.0,1.0,0.4629100498862757,True
104:35289,80,35289,nq,8,2.0,3.0,1.0,2.75,2.75,1813.5,1.0,2.0,3.0,2.0,3.0,1335.0,1973.0,1.0,0.4629100498862757,True
107:36816,81,36816,nq,8,1.0,2.0,1.0,1.25,1.25,890.0,1.0,1.0,2.0,1.0,2.0,731.0,1367.0,1.0,0.4629100498862757,True
110:55164,81,55164,nq,8,1.0,3.0,2.0,2.5,3.5,1745.0,1.4583333333333333,1.0,3.0,2.0,4.0,1287.0,1975.0,1.0,0.3779644730092272,True
110:123306,81,123306,hotpotqa,8,1.0,2.0,1.0,1.25,1.25,907.25,1.0,1.0,2.0,1.0,2.0,784.0,1277.0,1.0,0.4629100498862757,True
110:157805,81,157805,hotpotqa,8,1.0,2.0,1.0,1.875,1.875,1191.5,1.0,1.0,2.0,1.0,2.0,691.0,1263.0,1.0,0.3535533905932738,True
110:126170,81,126170,hotpotqa,8,1.0,2.0,1.0,1.125,2.125,1427.875,1.9375,1.0,2.0,2.0,3.0,1337.857142857143,2058.0,1.0,0.3535533905932738,True
113:86348,81,86348,hotpotqa,8,1.0,6.0,5.0,2.375,3.375,1949.0,1.5208333333333335,1.0,6.0,2.0,7.0,1267.0,3459.0,1.0,0.3011881234615431,True
115:40396,81,40396,nq,8,2.0,3.0,1.0,2.375,2.375,1531.25,1.0,2.0,3.0,2.0,3.0,1298.0,1920.0,1.0,0.5175491695067657,True
117:26045,81,26045,nq,8,1.0,2.0,1.0,1.375,2.375,1463.75,1.8125,1.0,2.0,2.0,3.0,1244.0,1830.0,1.0,0.5175491695067657,True
120:60231,82,60231,nq,8,1.0,2.0,1.0,1.125,1.125,739.625,1.0,1.0,2.0,1.0,2.0,677.0,1178.0,1.0,0.3535533905932738,True
120:127121,82,127121,hotpotqa,8,2.0,3.0,1.0,2.375,2.375,1518.5,1.0,2.0,3.0,2.0,3.0,1295.0,1891.0,1.0,0.5175491695067657,True
121:110256,82,110256,hotpotqa,8,1.0,3.0,2.0,1.25,2.25,1629.75,1.9166666666666665,1.0,3.0,2.0,4.0,1457.0,2839.0,1.0,0.3535533905932738,True
122:154682,82,154682,hotpotqa,8,1.0,2.0,1.0,1.625,2.625,1690.625,1.6875,1.0,2.0,2.0,3.0,1340.0,1901.0,1.0,0.5175491695067657,True
123:20129,82,20129,nq,8,1.0,2.0,1.0,1.375,2.375,1467.125,1.8125,1.0,2.0,2.0,3.0,1245.6,1836.3333333333333,1.0,0.5175491695067657,True
124:47170,82,47170,nq,8,1.0,2.0,1.0,1.25,2.25,1490.25,1.875,1.0,2.0,2.0,3.0,1353.0,1902.0,1.0,0.4629100498862757,True
125:126342,82,126342,hotpotqa,8,1.0,2.0,1.0,1.75,2.75,1834.25,1.625,1.0,2.0,2.0,3.0,1337.0,2000.0,1.0,0.4629100498862757,True
126:106223,82,106223,hotpotqa,8,1.0,2.0,1.0,1.75,2.75,1688.75,1.625,1.0,2.0,2.0,3.0,1148.0,1869.0,1.0,0.4629100498862757,True
127:164124,82,164124,hotpotqa,8,1.0,2.0,1.0,1.875,1.875,1238.0,1.0,1.0,2.0,1.0,2.0,741.0,1309.0,1.0,0.3535533905932738,True
127:84953,82,84953,hotpotqa,8,2.0,3.0,1.0,2.125,2.125,1394.0,1.0,2.0,3.0,2.0,3.0,1325.5714285714287,1873.0,1.0,0.3535533905932738,True
127:87482,82,87482,hotpotqa,8,2.0,3.0,1.0,2.875,2.875,1785.0,1.0,2.0,3.0,2.0,3.0,1316.0,1852.0,1.0,0.3535533905932738,True
133:161211,83,161211,hotpotqa,8,1.0,2.0,1.0,1.75,2.75,1682.875,1.625,1.0,2.0,2.0,3.0,1247.5,1828.0,1.0,0.4629100498862757,True
136:137847,83,137847,hotpotqa,8,3.0,4.0,1.0,3.25,3.25,1950.5,1.0,3.0,4.0,3.0,4.0,1818.0,2348.0,1.0,0.4629100498862757,True
140:150983,83,150983,hotpotqa,8,2.0,6.0,4.0,4.0,4.0,2524.0,1.0,2.0,6.0,2.0,6.0,1265.0,3783.0,1.0,0.5345224838248488,True
140:26390,83,26390,nq,8,1.0,2.0,1.0,1.5,2.5,1489.0,1.75,1.0,2.0,2.0,3.0,1222.0,1756.0,1.0,0.5345224838248488,True
142:85064,83,85064,hotpotqa,8,1.0,2.0,1.0,1.75,2.75,1665.75,1.625,1.0,2.0,2.0,3.0,1266.0,1799.0,1.0,0.4629100498862757,True
145:81602,84,81602,hotpotqa,8,2.0,3.0,1.0,2.125,3.125,2298.25,1.4791666666666665,2.0,3.0,3.0,4.0,2278.285714285714,2438.0,1.0,0.3535533905932738,True
147:104676,84,104676,hotpotqa,8,1.0,3.0,2.0,2.0,3.0,1742.0,1.6666666666666665,1.0,3.0,2.0,4.0,1384.0,2100.0,1.0,0.5345224838248488,True
147:105199,84,105199,hotpotqa,8,2.0,3.0,1.0,2.125,2.125,1375.25,1.0,2.0,3.0,2.0,3.0,1298.0,1916.0,1.0,0.3535533905932738,True
149:151586,84,151586,hotpotqa,8,1.0,2.0,1.0,1.625,1.625,1037.125,1.0,1.0,2.0,1.0,2.0,674.0,1255.0,1.0,0.5175491695067657,True
149:125153,84,125153,hotpotqa,8,1.0,2.0,1.0,1.75,2.75,1275.5,1.625,1.0,2.0,2.0,3.0,1211.0,1297.0,1.0,0.4629100498862757,True
152:99976,84,99976,hotpotqa,8,3.0,6.0,3.0,3.375,8.375,4425.125,2.5625,3.0,6.0,8.0,11.0,4239.0,5728.0,1.0,0.3535533905932738,True
152:58041,84,58041,nq,8,1.0,2.0,1.0,1.125,1.125,841.75,1.0,1.0,2.0,1.0,2.0,781.0,1267.0,1.0,0.3535533905932738,True
154:142624,85,142624,hotpotqa,8,1.0,2.0,1.0,1.5,3.5,2106.0,2.75,1.0,2.0,4.0,3.0,2333.0,1879.0,1.0,0.5345224838248488,True
155:55495,85,55495,nq,8,1.0,2.0,1.0,1.875,2.875,1797.125,1.5625,1.0,2.0,2.0,3.0,1301.0,1868.0,1.0,0.3535533905932738,True
156:106097,85,106097,hotpotqa,8,2.0,3.0,1.0,2.375,3.375,2345.0,1.4375,2.0,3.0,3.0,4.0,2102.0,2750.0,1.0,0.5175491695067657,True
156:1169,85,1169,nq,8,1.0,2.0,1.0,1.5,1.5,1056.5,1.0,1.0,2.0,1.0,2.0,777.0,1336.0,1.0,0.5345224838248488,True
156:45867,85,45867,nq,8,1.0,2.0,1.0,1.75,2.75,1814.125,1.625,1.0,2.0,2.0,3.0,1323.0,1977.8333333333333,1.0,0.4629100498862757,True
157:99609,85,99609,hotpotqa,8,1.0,2.0,1.0,1.5,1.5,1080.5,1.0,1.0,2.0,1.0,2.0,773.0,1388.0,1.0,0.5345224838248488,True
158:140010,85,140010,hotpotqa,8,2.0,3.0,1.0,2.25,3.25,2016.0,1.4583333333333333,2.0,3.0,3.0,4.0,1869.0,2457.0,1.0,0.4629100498862757,True
158:87284,85,87284,hotpotqa,8,1.0,2.0,1.0,1.5,2.0,1285.0,1.25,1.0,2.0,1.0,3.0,745.0,1825.0,1.0,0.5345224838248488,True
159:119287,85,119287,hotpotqa,8,2.0,4.0,2.0,2.5,2.75,1515.75,1.0625,2.0,4.0,2.0,5.0,1209.0,2436.0,1.0,0.4629100498862757,True
163:72057,85,72057,nq,8,1.0,2.0,1.0,1.625,2.625,1576.875,1.6875,1.0,2.0,2.0,3.0,1194.0,1806.6,1.0,0.5175491695067657,True
165:106558,86,106558,hotpotqa,8,2.0,4.0,2.0,2.25,2.25,1498.5,1.0,2.0,4.0,2.0,4.0,1362.0,2454.0,1.0,0.3535533905932738,True
165:129210,86,129210,hotpotqa,8,1.0,2.0,1.0,1.625,2.625,1734.125,1.6875,1.0,2.0,2.0,3.0,1346.0,1967.0,1.0,0.5175491695067657,True
166:16635,86,16635,nq,8,2.0,3.0,1.0,2.375,3.375,1994.25,1.4375,2.0,3.0,3.0,4.0,1780.0,2351.3333333333335,1.0,0.5175491695067657,True
166:114678,86,114678,hotpotqa,8,3.0,4.0,1.0,3.25,4.25,2555.25,1.3125,3.0,4.0,4.0,5.0,2422.0,2955.0,1.0,0.4629100498862757,True
168:142017,86,142017,hotpotqa,8,1.0,2.0,1.0,1.25,1.25,863.25,1.0,1.0,2.0,1.0,2.0,737.0,1242.0,1.0,0.4629100498862757,True
169:32798,86,32798,nq,8,2.0,5.0,3.0,3.5,3.5,2280.5,1.0,2.0,5.0,2.0,5.0,1403.0,3158.0,1.0,0.5345224838248488,True
