group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
55:103100,55,65,7,103100,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,3.375,3.375,2281.625,3.375,True,71672,True,E1_added
56:123833,56,65,8,123833,hotpotqa,8,4,False,False,True,0.5,0.0,4.0,4.0,5.125,4.0,5.125,4.0,3195.75,6.125,False,72912,False,GAP_displaced
58:29590,58,66,1,29590,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1135.0,2.625,True,74704,True,E1_added
62:17922,62,66,5,17922,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.0,2.0,1092.25,2.875,True,79416,True,E1_added
63:118298,63,66,6,118298,hotpotqa,8,8,False,True,False,1.0,2.0,1.0,3.0,1.75,1.75,2.75,2.75,1794.625,2.75,True,80944,True,E1_added
66:159961,66,66,9,159961,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1880.0,2.75,True,85096,True,E1_added
66:114293,66,66,9,114293,hotpotqa,8,4,False,False,True,0.5,0.0,2.0,2.0,1.5,2.0,2.0,2.0,1401.5,2.5,False,85496,False,GAP_displaced
66:34076,66,66,9,34076,nq,8,5,False,False,True,0.625,0.0,2.0,2.0,2.375,2.0,2.375,2.0,1465.75,3.375,False,85592,False,GAP_displaced
67:86108,67,67,0,86108,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,870.375,2.125,True,86768,True,E1_added
68:113909,68,67,1,113909,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,1.25,1.25,913.0,2.25,True,87424,True,E1_added
68:159913,68,67,1,159913,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1670.75,2.625,True,87680,True,E1_added
69:74856,69,67,2,74856,nq,8,8,False,True,False,1.0,1.0,3.0,4.0,3.625,3.625,3.625,3.625,2260.75,4.625,True,89416,True,E1_added
70:166337,70,67,3,166337,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,999.0,2.5,True,90160,True,E1_added
70:486,70,67,3,486,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1121.375,2.875,True,90312,True,E1_added
77:54157,77,68,0,54157,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1157.25,2.75,True,99176,True,E1_added
81:72153,81,68,4,72153,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1737.5,2.625,True,104720,True,E1_added
86:27545,86,68,9,27545,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.875,2.875,2.875,2.875,1606.0,3.875,True,110576,True,E1_added
86:77792,86,68,9,77792,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1155.75,2.75,True,111120,True,E1_added
87:43888,87,68,10,43888,nq,8,8,False,True,False,1.0,2.0,2.0,4.0,2.25,2.25,3.25,3.25,2061.125,3.25,True,111944,True,E1_added
88:163105,88,68,11,163105,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.25,2.25,2.25,2.25,1383.5,3.25,True,112696,True,E1_added
88:114640,88,68,11,114640,hotpotqa,8,8,False,True,False,1.0,1.0,3.0,4.0,3.125,3.125,3.125,3.125,2025.125,4.125,True,113104,True,E1_added
88:53637,88,68,11,53637,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1764.25,2.875,True,113512,True,E1_added
88:15254,88,68,11,15254,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,725.0,2.0,False,113696,False,GAP_displaced
88:73089,88,68,11,73089,nq,8,4,False,False,True,0.5,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2069.0,2.0,False,113768,False,GAP_displaced
