pool,set,n_groups,all_wrong,mixed,all_correct,all_correct_rate,mixed_rate,mean_group_success_rate,mean_correct_count,mean_cost_all,mean_cost_gap_correct,active_efficiency_groups,mean_queries,mean_tokens,mean_turns,top_sources
E1_0,candidates,18400,9876.0,340.0,8184.0,0.44478260869565217,0.01847826086956522,0.4539130434782609,3.631304347826087,1.440733695652174,0.0058152173913043476,95.0,1.9897622282608696,1277.7553192934784,,hotpotqa:9858; nq:8542
E1_0,S_GAP,340,0.0,340.0,0.0,0.0,1.0,0.49411764705882355,3.9529411764705884,1.6974264705882354,0.05,11.0,2.3801470588235296,1509.5496323529412,,hotpotqa:181; nq:159
E1_0,S_E1,424,0.0,340.0,84.0,0.19811320754716982,0.8018867924528302,0.5943396226415094,4.754716981132075,1.7402712264150944,0.25235849056603776,95.0,2.38561320754717,1514.9876179245282,,hotpotqa:238; nq:186
E1_0,intersection,340,0.0,340.0,0.0,0.0,1.0,0.49411764705882355,3.9529411764705884,1.6974264705882354,0.05,11.0,2.3801470588235296,1509.5496323529412,,hotpotqa:181; nq:159
E1_0,E1_only,84,0.0,0.0,84.0,1.0,0.0,1.0,8.0,1.9136904761904763,1.0714285714285714,84.0,2.4077380952380953,1536.998511904762,,hotpotqa:57; nq:27
E1_0,GAP_only,0,,,,,,,,,,,,,,
E1_A,candidates,17440,9397.0,294.0,7749.0,0.44432339449541286,0.016857798165137616,0.45277379587155964,3.622190366972477,1.4328841743119265,0.0035550458715596332,58.0,1.9837801032110092,1275.676268635321,2.4327766628440366,hotpotqa:9325; nq:8115
E1_A,S_GAP,294,0.0,294.0,0.0,0.0,1.0,0.5012755102040817,4.010204081632653,1.6985544217687074,0.01020408163265306,3.0,2.3469387755102042,1482.686224489796,2.6985544217687076,hotpotqa:160; nq:134
E1_A,S_E1,349,0.0,294.0,55.0,0.15759312320916904,0.8424068767908309,0.5798710601719198,4.638968481375358,1.7338825214899714,0.17765042979942694,58.0,2.3517191977077365,1486.7926217765043,2.733882521489971,hotpotqa:190; nq:159
E1_A,intersection,294,0.0,294.0,0.0,0.0,1.0,0.5012755102040817,4.010204081632653,1.6985544217687074,0.01020408163265306,3.0,2.3469387755102042,1482.686224489796,2.6985544217687076,hotpotqa:160; nq:134
E1_A,E1_only,55,0.0,0.0,55.0,1.0,0.0,1.0,8.0,1.9227272727272726,1.0727272727272728,55.0,2.3772727272727274,1508.7431818181817,2.922727272727273,hotpotqa:30; nq:25
E1_A,GAP_only,0,,,,,,,,,,,,,,
E1_B,candidates,80160,42821.0,1412.0,35927.0,0.44819111776447107,0.017614770459081837,0.45707959081836325,3.656636726546906,1.3302223677644711,0.003967065868263473,291.0,1.9179937000998004,1244.5145396706587,2.3301849426147703,hotpotqa:42774; nq:37386
E1_B,S_GAP,1412,0.0,1412.0,0.0,0.0,1.0,0.5046033994334278,4.036827195467422,1.5835694050991502,0.014872521246458924,18.0,2.279567988668555,1471.6889164305949,2.58356940509915,hotpotqa:798; nq:614
E1_B,S_E1,1685,0.0,1412.0,273.0,0.16201780415430267,0.8379821958456973,0.58486646884273,4.67893175074184,1.622032640949555,0.1887240356083086,291.0,2.287833827893175,1479.6080860534125,2.6220326409495547,hotpotqa:987; nq:698
E1_B,intersection,1412,0.0,1412.0,0.0,0.0,1.0,0.5046033994334278,4.036827195467422,1.5835694050991502,0.014872521246458924,18.0,2.279567988668555,1471.6889164305949,2.58356940509915,hotpotqa:798; nq:614
E1_B,E1_only,273,0.0,0.0,273.0,1.0,0.0,1.0,8.0,1.820970695970696,1.0879120879120878,273.0,2.3305860805860807,1520.5673076923076,2.820970695970696,hotpotqa:189; nq:84
E1_B,GAP_only,0,,,,,,,,,,,,,,
