lambda,batch,n_trajectories,advantage_mean_abs,advantage_std,correct_mean,wrong_mean,correct_minus_wrong_gap,efficient_correct_mean,inefficient_correct_mean,efficient_minus_inefficient_gap
0.0,fixed_lambda0.05_selection,12800,0.6484690026990435,0.8554370337563629,0.5521822268858274,-0.7854280123531185,1.337610239238946,0.020748941326614277,0.6466111434988245,-0.6258622021722102
0.01,fixed_lambda0.05_selection,12800,0.774593107193174,0.9354132174759994,0.5521819470769476,-0.7854276143509304,1.337609561427878,0.7316046691714052,0.5203008178298284,0.2113038513415768
0.025,fixed_lambda0.05_selection,12800,0.7746086174777767,0.9354347265567183,0.5521805021584448,-0.7854255590883557,1.3376060612468006,0.7322548460884996,0.5201835880223304,0.2120712580661691
0.05,fixed_lambda0.05_selection,12800,0.7746084681718393,0.935441898440538,0.5521754900450506,-0.7854184298218403,1.337593919866891,0.7331832051041843,0.5200127277640952,0.2131704773400891
0.1,fixed_lambda0.05_selection,12800,0.7745891198544672,0.9354454851836659,0.5521565719684192,-0.7853915206121571,1.3375480925805763,0.7348941747611187,0.5196864307012738,0.21520774405984489
0.2,fixed_lambda0.05_selection,12800,0.7745305591358053,0.9354472795283435,0.5520896472565985,-0.7852963264157063,1.3373859736723048,0.7379147204298002,0.5190709018823567,0.2188438185474435
