lambda,n_trajectories,advantage_mean,advantage_std,advantage_mean_abs,advantage_max_abs,correct_mean,wrong_mean,correct_minus_wrong_gap,efficient_correct_mean,inefficient_correct_mean,efficient_minus_inefficient_gap,e1_only_group_advantage_mean,n_e1_only_trajectories,nan_count,inf_count
0.0,11272,1.7728898547953175e-19,0.9354536654065039,0.7744839613153635,2.474866734172715,0.7678085498633929,-0.7812764642873437,1.5490850141507364,0.5622025422704747,0.7694122840123183,-0.2072097417418436,,0,0,0
0.01,12800,1.6702004362878497e-15,0.9354132174759994,0.774593107193174,2.474866734172715,0.5521819470769476,-0.7854276143509304,1.337609561427878,0.7316046691714052,0.5203008178298284,0.2113038513415768,1.0215905729502866e-14,2096,0,0
0.025,12800,-7.448035244106422e-17,0.9354347265567183,0.7746086174777767,2.474866734172715,0.5521805021584448,-0.7854255590883557,1.3376060612468006,0.7322548460884996,0.5201835880223304,0.2120712580661691,-4.322771996166938e-16,2096,0,0
0.05,12800,-2.5255839086746335e-16,0.935441898440538,0.7746084681718393,2.474866734172715,0.5521754900450506,-0.7854184298218403,1.337593919866891,0.7331832051041843,0.5200127277640952,0.2131704773400891,-1.5325421169599072e-15,2096,0,0
0.1,12800,1.7546727959505404e-17,0.9354454851836659,0.7745891198544672,2.474866734172715,0.5521565719684192,-0.7853915206121571,1.3375480925805763,0.7348941747611187,0.5196864307012738,0.21520774405984489,1.0546059360823887e-16,2096,0,0
0.2,12800,6.111430805866291e-17,0.9354472795283435,0.7745305591358053,2.474866734172715,0.5520896472565985,-0.7852963264157063,1.3373859736723048,0.7379147204298002,0.5190709018823567,0.2188438185474435,3.9620554504752724e-16,2096,0,0
