group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
46:133468,46,76,0,133468,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1398.875,2.125,True,59600,True,E1_added
47:65042,47,76,1,65042,nq,8,8,False,True,False,1.0,2.0,1.0,3.0,1.25,1.25,1.25,1.25,1010.75,2.25,True,60376,True,E1_added
49:36786,49,76,3,36786,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.875,2.875,2.875,2.875,2056.875,3.875,True,62744,True,E1_added
51:90321,51,76,5,90321,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.75,2.75,2.75,2.75,1782.0,3.75,True,66552,True,E1_added
53:23809,53,76,7,23809,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1396.25,2.875,True,68544,True,E1_added
53:85608,53,76,7,85608,hotpotqa,8,4,False,False,True,0.5,0.0,3.0,3.0,2.5,3.0,2.5,3.0,1606.5,3.5,False,68912,False,GAP_displaced
54:86004,54,77,0,86004,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1753.5,2.75,True,69312,True,E1_added
55:83312,55,77,1,83312,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1408.875,2.125,True,70592,True,E1_added
56:130502,56,77,2,130502,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1537.0,3.375,True,72384,True,E1_added
57:4183,57,77,3,4183,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1341.0,2.875,True,74176,True,E1_added
58:91271,58,77,4,91271,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1828.375,2.875,True,74808,True,E1_added
59:161525,59,77,5,161525,hotpotqa,8,8,False,True,False,1.0,2.0,1.0,3.0,1.25,1.25,2.25,2.25,1517.25,2.25,True,75888,True,E1_added
