group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:74417,0,71,74417,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,732.0,False,False,False,False,False,False
0:70877,0,71,70877,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,1.25,2.0,928.0,False,True,True,False,False,True
0:32003,0,71,32003,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,777.0,False,False,False,False,False,False
0:8699,0,71,8699,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1232.0,False,False,False,False,False,False
0:115800,0,71,115800,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1306.125,False,False,False,False,False,False
0:73141,0,71,73141,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,729.0,False,False,False,False,False,False
0:148872,0,71,148872,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1844.0,False,False,False,False,False,False
0:70904,0,71,70904,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,686.0,False,False,False,False,False,False
0:101828,0,71,101828,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,671.0,False,False,False,False,False,False
0:21745,0,71,21745,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1316.0,False,False,False,False,False,False
0:124923,0,71,124923,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1279.0,False,False,False,False,False,False
0:85631,0,71,85631,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1842.0,False,False,False,False,False,False
0:157316,0,71,157316,hotpotqa,8,0,True,False,False,0.0,3.875,,,,0.0,3.875,4.875,2857.0,False,False,False,False,False,False
0:88682,0,71,88682,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1326.0,False,False,False,False,False,False
0:37375,0,71,37375,nq,8,0,True,False,False,0.0,1.25,,,,0.0,1.25,2.25,926.75,False,False,False,False,False,False
0:7360,0,71,7360,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,679.0,False,False,False,False,False,False
0:71145,0,71,71145,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,883.0,False,False,False,False,False,False
0:53433,0,71,53433,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1285.0,False,False,False,False,False,False
0:158397,0,71,158397,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1259.75,False,False,False,False,False,False
0:78589,0,71,78589,nq,8,0,True,False,False,0.0,4.5,,,,0.0,4.5,5.5,2541.125,False,False,False,False,False,False
0:144484,0,71,144484,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1290.0,False,False,False,False,False,False
0:109677,0,71,109677,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1314.0,False,False,False,False,False,False
0:103929,0,71,103929,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1219.0,False,False,False,False,False,False
0:61188,0,71,61188,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1112.0,False,False,False,False,False,False
0:56744,0,71,56744,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1289.0,False,False,False,False,False,False
0:98284,0,71,98284,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,796.0,False,False,False,False,False,False
0:121947,0,71,121947,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,1087.5,False,False,False,False,False,False
0:13314,0,71,13314,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1179.0,False,False,False,False,False,False
0:18819,0,71,18819,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1520.0,False,False,False,False,False,False
0:24347,0,71,24347,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1337.0,False,False,False,False,False,False
0:7997,0,71,7997,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,783.625,False,False,False,False,False,False
0:71518,0,71,71518,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1211.0,False,False,False,False,False,False
0:129798,0,71,129798,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1945.0,False,False,False,False,False,False
0:94128,0,71,94128,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1198.0,False,False,False,False,False,False
0:97521,0,71,97521,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1385.0,False,False,False,False,False,False
0:12826,0,71,12826,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,740.25,False,False,False,False,False,False
0:23912,0,71,23912,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,797.0,False,False,False,False,False,False
