group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
14:123875,14,72,123875,hotpotqa,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1279.0,False,True,True,False,False,True
14:109334,14,72,109334,hotpotqa,8,3,False,False,True,0.375,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2010.375,False,True,True,False,False,True
15:112352,15,72,112352,hotpotqa,8,3,False,False,True,0.375,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1940.25,False,True,True,False,False,True
15:92167,15,72,92167,hotpotqa,8,2,False,False,True,0.25,1.75,1.0,1.0,1.0,0.0,1.75,2.75,1166.75,False,True,True,False,False,True
16:163632,16,72,163632,hotpotqa,8,5,False,False,True,0.625,4.0,4.0,4.0,4.0,0.0,6.0,5.0,2741.75,False,True,True,False,False,True
16:12278,16,72,12278,nq,8,1,False,False,True,0.125,3.0,3.0,3.0,3.0,0.0,3.0,4.0,2061.125,False,True,True,False,False,True
16:39749,16,72,39749,nq,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1830.25,False,True,True,False,False,True
17:71318,17,72,71318,nq,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1924.75,False,True,True,False,False,True
17:123546,17,72,123546,hotpotqa,8,3,False,False,True,0.375,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1381.125,False,True,True,False,False,True
19:64396,19,72,64396,nq,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1967.75,False,True,True,False,False,True
19:106248,19,72,106248,hotpotqa,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2219.5,False,True,True,False,False,True
19:6420,19,72,6420,nq,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1351.25,False,True,True,False,False,True
19:92212,19,72,92212,hotpotqa,8,3,False,False,True,0.375,5.625,6.666666666666667,6.0,7.0,1.0,5.625,6.625,2632.375,True,True,True,False,False,True
19:6244,19,72,6244,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,1.125,2.0,865.25,False,True,True,False,False,True
20:23749,20,73,23749,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1210.5,False,True,True,False,False,True
20:136046,20,73,136046,hotpotqa,8,7,False,False,True,0.875,3.0,3.0,3.0,3.0,0.0,4.0,4.0,2553.25,False,True,True,False,False,True
20:154213,20,73,154213,hotpotqa,8,7,False,False,True,0.875,1.875,2.0,2.0,2.0,0.0,1.875,2.875,1262.25,False,True,True,False,False,True
21:21118,21,73,21118,nq,8,6,False,False,True,0.75,1.25,1.0,1.0,1.0,0.0,1.25,2.25,915.25,False,True,True,False,False,True
21:100601,21,73,100601,hotpotqa,8,2,False,False,True,0.25,4.0,3.0,3.0,3.0,0.0,4.0,5.0,2406.0,False,True,True,False,False,True
22:81071,22,73,81071,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1356.375,False,True,True,False,False,True
22:2048,22,73,2048,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,1.0,2.0,797.125,False,True,True,False,False,True
22:59574,22,73,59574,nq,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1430.5,False,True,True,False,False,True
22:101930,22,73,101930,hotpotqa,8,1,False,False,True,0.125,2.75,2.0,2.0,2.0,0.0,11.75,3.75,6144.375,False,True,True,False,False,True
23:95846,23,73,95846,hotpotqa,8,3,False,False,True,0.375,2.375,3.0,3.0,3.0,0.0,2.375,3.375,1544.75,False,True,True,False,False,True
23:126799,23,73,126799,hotpotqa,8,3,False,False,True,0.375,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1924.375,False,True,True,False,False,True
23:95794,23,73,95794,hotpotqa,8,6,False,False,True,0.75,5.375,4.833333333333333,3.0,6.0,3.0,6.375,6.375,4540.75,True,True,True,False,False,True
24:111790,24,73,111790,hotpotqa,8,2,False,False,True,0.25,3.25,4.0,4.0,4.0,0.0,4.25,4.25,2658.75,False,True,True,False,False,True
24:34968,24,73,34968,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1369.5,False,True,True,False,False,True
24:104985,24,73,104985,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1554.0,False,True,True,False,False,True
24:4869,24,73,4869,nq,8,1,False,False,True,0.125,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1833.875,False,True,True,False,False,True
25:69835,25,73,69835,nq,8,1,False,False,True,0.125,2.875,2.0,2.0,2.0,0.0,3.125,3.875,1940.625,False,True,True,False,False,True
25:20839,25,73,20839,nq,8,5,False,False,True,0.625,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1763.0,False,True,True,False,False,True
25:107380,25,73,107380,hotpotqa,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1322.75,False,True,True,False,False,True
25:152246,25,73,152246,hotpotqa,8,5,False,False,True,0.625,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1319.875,False,True,True,False,False,True
26:23993,26,73,23993,nq,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1345.125,False,True,True,False,False,True
26:107206,26,73,107206,hotpotqa,8,6,False,False,True,0.75,3.25,4.0,4.0,4.0,0.0,4.25,4.25,2455.75,False,True,True,False,False,True
26:62410,26,73,62410,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1235.375,False,True,True,False,False,True
26:137273,26,73,137273,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1354.875,False,True,True,False,False,True
26:138818,26,73,138818,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1292.375,False,True,True,False,False,True
27:59584,27,73,59584,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,1.0,2.0,793.875,False,True,True,False,False,True
27:17200,27,73,17200,nq,8,7,False,False,True,0.875,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1668.375,False,True,True,False,False,True
28:60022,28,73,60022,nq,8,7,False,False,True,0.875,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1877.875,False,True,True,False,False,True
